NBA Draft Combine – Strength & Agility Statistics by Position (2014–Present),,,,,,,,,,,,,,
Position,Metric,N,Mean,Median,SD ?2,SD ?1,SD +1,SD +2,,Very Low,Low,Average,High,Very High
G,Lane Agility Time (sec),15,11.00,11.10,10.34,10.67,11.33,11.66,,"Very High
< 10.34","High
10.34 – 10.67","Average
10.67 – 11.33","Low
11.33 – 11.66","Very Low
? 11.66"
G,3/4 Court Sprint (sec),15,3.19,3.17,2.89,3.04,3.34,3.49,,"Very High
< 2.89","High
2.89 – 3.04","Average
3.04 – 3.34","Low
3.34 – 3.49","Very Low
? 3.49"
G,Standing Vertical Leap (in),15,30.10,30.00,23.10,26.60,33.60,37.10,,"Very Low
< 23.10","Low
23.10 – 26.60","Average
26.60 – 33.60","High
33.60 – 37.10","Very High
? 37.10"
G,Max Vertical Leap (in),15,36.40,36.00,27.99,32.19,40.61,44.81,,"Very Low
< 27.99","Low
27.99 – 32.19","Average
32.19 – 40.61","High
40.61 – 44.81","Very High
? 44.81"
PG,Lane Agility Time (sec),129,11.01,10.96,10.25,10.63,11.38,11.76,,"Very High
< 10.25","High
10.25 – 10.63","Average
10.63 – 11.38","Low
11.38 – 11.76","Very Low
? 11.76"
PG,Shuttle Run (sec),116,3.03,3.02,2.71,2.87,3.18,3.34,,"Very High
< 2.71","High
2.71 – 2.87","Average
2.87 – 3.18","Low
3.18 – 3.34","Very Low
? 3.34"
PG,3/4 Court Sprint (sec),126,3.20,3.21,3.01,3.11,3.30,3.40,,"Very High
< 3.01","High
3.01 – 3.11","Average
3.11 – 3.30","Low
3.30 – 3.40","Very Low
? 3.40"
PG,Standing Vertical Leap (in),127,30.00,30.50,24.65,27.33,32.68,35.35,,"Very Low
< 24.65","Low
24.65 – 27.33","Average
27.33 – 32.68","High
32.68 – 35.35","Very High
? 35.35"
PG,Max Vertical Leap (in),151,36.48,36.50,30.08,33.28,39.67,42.87,,"Very Low
< 30.08","Low
30.08 – 33.28","Average
33.28 – 39.67","High
39.67 – 42.87","Very High
? 42.87"
PG,Max Bench Press (reps),24,6.67,6.00,-2.78,1.94,11.39,16.12,,"Very Low
< -2.78","Low
-2.78 – 1.94","Average
1.94 – 11.39","High
11.39 – 16.12","Very High
? 16.12"
PG-SG,Lane Agility Time (sec),7,11.07,11.01,10.22,10.65,11.50,11.93,,"Very High
< 10.22","High
10.22 – 10.65","Average
10.65 – 11.50","Low
11.50 – 11.93","Very Low
? 11.93"
PG-SG,Shuttle Run (sec),7,3.03,2.99,2.73,2.88,3.18,3.33,,"Very High
< 2.73","High
2.73 – 2.88","Average
2.88 – 3.18","Low
3.18 – 3.33","Very Low
? 3.33"
